,Ki,P1_init,P2_init,P3_init,P4_init,P5_init,k1,k2,k3,k4,k6,k7,k8_FA,k8_FA_coA,k9,k10,k11,k12,k13,k14,k19,k20,k21,k22,k23,Tox_coA,unreg,reg
52,8.75E-002,6.73E+003,1.96E+002,2.30E+001,1.86E+002,4.90E+001,1.18E+002,6.71E-004,3.08E-003,4.18E+002,1.40E+000,3.42E-002,7.40E-006,3.44E-009,2.87E+001,7.03E-002,2.46E+001,9.80E-002,7.81E+001,1.07E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.91E+007,1.48E+005,6.34E+004
53,8.35E-002,1.30E+004,1.44E+002,5.13E+000,5.62E+001,1.33E+002,8.50E+001,5.18E-003,1.65E-003,8.52E+002,1.34E+000,8.62E-001,6.66E-006,8.58E-009,1.50E+001,7.80E-002,6.85E+001,1.34E-002,5.23E+001,1.10E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.10E+007,9.31E+004,2.05E+001
54,7.66E-002,3.60E+003,1.53E+002,1.23E+002,1.13E+002,4.70E+001,8.28E+001,4.41E-003,4.34E-004,3.42E+002,1.71E+000,1.71E+000,3.50E-006,3.36E-009,1.03E+001,6.04E-002,4.34E+001,9.29E-004,7.56E+001,3.40E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,2.75E+006,1.69E+002,9.64E-001
55,1.36E-001,1.96E+004,1.60E+002,1.49E+002,2.26E+001,3.81E+001,1.86E+002,1.82E-003,6.85E-003,4.77E+002,5.71E-001,7.52E-001,1.18E-006,4.55E-009,3.32E+001,1.28E-001,2.96E+001,7.34E-003,1.83E+001,6.13E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.79E+007,2.99E+003,4.32E+000
56,1.39E-001,1.66E+004,1.29E+002,7.13E+001,1.83E+002,1.45E+002,9.37E+001,1.89E-003,1.97E-003,4.82E+002,8.87E-001,1.36E+000,8.98E-006,6.61E-009,7.45E+000,3.27E-002,2.47E+001,1.70E-002,5.49E+001,3.17E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.50E+007,1.77E+005,5.27E+004
57,1.42E-002,8.28E+003,7.63E+001,1.49E+002,1.42E+002,1.60E+002,1.91E+002,3.12E-003,4.74E-003,7.17E+002,1.48E+000,7.94E-001,8.11E-006,4.44E-009,3.28E+001,1.13E-002,3.32E+001,8.19E-002,2.90E+001,5.62E-003,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,5.80E+006,7.96E+003,1.42E+003
58,3.57E-002,1.90E+004,6.58E+001,4.97E+001,7.00E+000,1.65E+002,5.04E+001,5.92E-003,2.05E-004,2.50E+001,9.18E-001,6.89E-001,5.33E-006,3.58E-009,3.03E+000,2.66E-002,6.58E+001,2.29E-002,1.70E+001,8.71E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,2.78E+006,1.80E+000,5.61E-002
59,6.71E-002,8.28E+003,1.16E+002,1.83E+002,1.31E+002,7.66E+001,4.64E+000,2.16E-003,4.53E-003,6.30E+002,2.35E-002,1.67E-001,8.67E-007,2.67E-009,2.17E+001,5.50E-003,4.42E-001,4.24E-002,1.64E+001,3.86E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.41E+007,1.10E+004,6.33E+002
60,1.29E-002,1.63E+004,4.44E+001,2.44E+001,1.80E+002,2.98E+001,1.49E+002,2.63E-003,2.27E-003,7.97E+002,1.39E+000,1.27E+000,1.24E-007,5.54E-010,2.31E+001,1.06E-001,5.81E+001,1.14E-001,3.56E+001,9.00E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,2.24E+006,4.48E+004,1.90E+004
61,1.64E-001,7.77E+003,1.54E+002,6.00E+001,1.13E+002,1.42E+002,5.51E+000,1.98E-003,2.16E-003,7.61E+002,1.14E+000,7.81E-001,7.60E-006,6.40E-009,3.62E+001,2.88E-002,5.81E+001,3.38E-002,3.94E+001,4.68E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,9.16E+006,1.44E+004,1.61E+004
